aankijkt 'ankEkt
doucht d'uSt
driegen dr'iG@n
aanhingen 'anhIN@n
gepeelde G@p'eld@
vrijbuiteren vr'Eb@t@2r@n
getijdenboeken G@t'Ed@nbuk@n
druppelteller dr'Yp@ltEl@r
jukkende j'Yk@n1d@
vlasblonde vl'AzblOnd@
verder v'Erd@r
getransigeerd G@trAnzi2G'ert
ijzersterk 'Ez@rstEr_k
hese h'es@
duidelijk d'@d@2l@k
grafschenders Gr'AfsxEnd@rs
contamineerden kOntAmi2n'erd@n
grimast Gri2m'Ast
onderwindt Ond@rw'Int
motieven mo2t'iv@n
kruimen kr'@m@n
stiletto's sti2l'Etos
lesgeld l'EsxElt
inspant 'InspAnt
soldatenmeid sOld'at@nmEt
fracturen frAkt'yr@n
neefjes n'efj@s
varkensoogjes v'Ark@nzoxj@s
slechtje sl'Extj@
stabiliteit sta2bi2li2t'Et
sneuvelende sn'2v@2l@n1d@
deflatoir de2flAtw'ar
koortsthermometer k'ort2stErmo2met@r
melaatsheid me3l'atshEt
gefuifd G@f'@ft
hekelend h'ek@2l@n1t
achterliggende 'Axt@rlIG@n1d@
dienstrijwiel d'i1nstrEwil
donderdagmiddag dOnd@rdAxm'IdAx
tollenaars t'Ol@nars
fytine fi2t'i1n@
mogelijkerwijs m'oG@2l@k@rwEs
onbenoembaar 'Onb@n'umbar
eikenhout 'Ek@hOt
basen b'az@n
lamlendigheid lAml'End@xhEt
regeringssteun re3G'erINsst2n
kliefden kl'ivd@n
stalde st'Ald@
hunebedden h'y1n@bEd@n
halofyten ha2lo2f'i1t@n
gescheurd G@sx'2rt
geplunderde G@pl'Ynd@rd@
encadrerende ENkAdr'er@n1d@
wreven vr'ev@n
sannie s'Ani
eendenkroos 'end@kros
foltertuig f'Olt@rt@x
dry dr'aj
alarminstallaties Al'Ar_mInstAlasis
verhalencyclus v@rh'al@nsi2klYs
huiveriger h'@v@2r@G@r
classificatie klAsi2fi2k'asi
landtongen l'AnttON@n
mondainste mOnd'E:nst@
judaspenningen j'ydAspEnIN@n
amateur-archeoloog a2mAt'2rArxe3o2lox
smaad sm'at
differentiërende dIfe3rE2nsj'er@n1d@
damasceert da2mAs'ert
afgehangen 'Afx@hAN@n
gefourneerde G@furn'erd@
fototoestellen f'oto2tustEl@n
ophielden 'Ophi1ld@n
alpinist Alpi2n'Ist
orgies OrG'is
considererende kOnsi2de3r'er@n1d@
kumquats kYmkw'Ats
opperkleed 'Op@rklet
teruggeven t@r'Yxxev@n
bontstola's b'Ontstola2s
unificerende y2ni2fi2s'er@n1d@
frictiewerkloosheid fr'IksiwEr_kloshEt
knoeide kn'ujd@
nummerborden n'Ym@rbOrd@n
benedictuskruid be2ne3d'IktYskr@t
gedeprecieerde G@de3pre3sj'erd@
Wout w'Ot
sulde s'Yld@
kapende k'ap@n1d@
presumeer pre2zy2m'er
wezentjes w'ez@n1tj@s
opendoen 'op@ndun
stulpjes st'Yl_pj@s
verpaupering v@rp'Op@rIN
luchtte l'Yxt@
Iberiërs i2b'eri3@rs
verbijzonderd v@rbi2z'Ond@rt
grondoorzaken Gr'Ontorzak@n
orangistische o2rANG'Isti2s@
afstempelen 'AfstEmp@2l@n
snoodaard sn'otart
opengesprongen 'op@nG@sprON@n
afzuigen 'Afs@G@n
vormveranderingen v'Or_mv@rAnd@rIN@n
wandmeubel w'Antm2b@l
openbarst 'op@nbArst
dennennaald d'En@nalt
uitkeringsniveau '@tkerINsni2vo
kattenmepper k'At@nmEp@r
machtsbases m'AGdzbaz@s
vertoon v@rt'on
roemden r'umd@n
rooide r'ojd@
bijgevoegde b'EG@vuGd@
muziekstuk my2z'ikstYk
stegel st'eG@l
getead G@t'it
opsporingsbeleid 'OpsporINzb@lEt
verveelde v@rv'eld@
positieve po2zi2t'iv@
wereldwonderen w'er@ltwOnd@2r@n
stempelaars st'Emp@lars
kapitaalrente ka2pi2t'alrEnt@
opsporing 'OpsporIN
oppertoezicht 'Op@rtuzIxt
activistisch Akti2v'Isti2s
blijkbare bl'Egbar@
zeelucht z'elYxt
oogvliezen 'oxfliz@n
Beckmann b'EkmAn
peseta's pe3z'eta2s
uitnemendheid @tn'em@n1thEt
kernkop k'Er_nkOp
pleuroscopie pl2ro2sko2p'i
trekgoed tr'Ekxut
tempelend t'Emp@2l@n1t
raffinadeur rAfi2nAd'2r
knoesten kn'ust@n
gelapte G@l'Apt@
toevoegde t'uvuGd@
alleenspraak Al'ensprak
debuterende de3by2t'er@n1d@
belangstellend b@lANst'El@n1t
imaginerende i2mAGi2n'er@n1d@
pullmans p'YlmAns
modems m'odEms
kwint kw'Int
wikkende w'Ik@n1d@
plaatje pl'atj@
sigarenkist si2G'ar@nkIst
voortrekker v'ortrEk@r
geknerpt G@kn'Er_pt
wielbasis w'ilbazI2s
distribueerden dIstri2by3'erd@n
kozijns ko2z'Ens
geschiedschrijving G@sx'itsxrEvIN
kafferen k'Af@2r@n
Azië 'azi3@
provisors pro2v'izO2rs
onderzetters 'Ond@rzEt@rs
drastischer dr'Asti2s@r
struiser str'@z@r
kristallijn krIstAl'En
Aeneas 'e2ne3As
uitgaven '@txav@n
ijsklompjes 'EsklOmpj@s
plausibelst plOz'ib@lst
pulsten p'Ylst@n
inde 'Ind@
luizenveren l'@z@ver@n
samengewoond s'am@nG@wont
cabaretier ka2bAre3tj'e
kraagjes kr'axj@s
jureren jy2r'er@n
voortschrijden v'ortsxrEd@n
plebejischt ple3b'e1ji2st
sprankje spr'ANkj@
raadscommissies r'atskOmIsis
dramden dr'Amd@n
oorlogsdagen 'orlOGzdaG@n
omdopen 'Omdop@n
ontmanteld Ontm'Ant@lt
overschouwde ov@rsx'Od@
hyacinten hi2As'Int@n
snavelachtige sn'av@lAxt@G@
mirakel mi2r'ak@l
scheppingsverhaal sx'EpINsf@rhal
brombeer br'Omber
vergend v'ErG@n1t
nebjes n'Epj@s
gediscrimineerd G@dIskri2mi2n'ert
postduif p'Ozdd@f
spermiogenese spErmi3o2Ge3n'ez@
snifte sn'Ift@
massaconsumptie m'Asa2kOnsYmpsi
bewustwording b@w'YstwOrdIN
voorchristelijke v'orkrIst@2l@k@
tremuleer tre2my2l'er
achterlichaam 'Axt@rlIxam
knetterende kn'Et@2r@n1d@
vormingswerker v'OrmINswErk@r
casestudies k'esst@dis
proefboring pr'uvborIN
kengetallen k'EnG@tAl@n
handelsbanken h'And@lzbANk@n
revalueerden re3vAly3'erd@n
ringbaard r'INbart
kastelen kAst'el@n
luchtmachtbasis l'YxtmAGdbazI2s
oogstende 'oxst@n1d@
geouwehoer G@O@h'ur
verhuur v@rh'yr
uitgesteld '@tx@stElt
monetarisme mo2ne3tAr'Izm@
verschoven v@rsx'ov@n
ledigde l'ed@Gd@
agitatorischt a2Gi2tAt'ori2st
belangenorganisatie b@l'AN@nOrGAni2zasi
verbeidt v@rb'Et
heropenen hE2r'op@n@n
lapmiddelen l'ApmId@2l@n
esthetiek Este3t'ik
gespierdheid G@sp'irthEt
eersteling 'erst@lIN
beweeglijkheid b@w'exl@khEt
kundigheid k'Ynd@xhEt
Japannees ja2pAn'es
kunstuitingen k'Ynst@tIN@n
predicatieve pre2di2kAt'iv@
kruisspin kr'@sspIn
partij-instanties pArt'EInstAnsis
zondagswet z'OndAxswEt
opgereden 'Opx@red@n
solisme so2l'Izm@
serveer sE2rv'er
buide b'@d@
terugreden t@r'Yxred@n
welluidende wE2ll'@d@n1d@
azuur Az'yr
ontkalking Ontk'AlkIN
Leo l'e1o2
vraagstellers vr'axstEl@rs
oostmoesson 'ostmusOn
afzond 'AfsOnt
neutralist n2trAl'Ist
klonen kl'on@n
kostend k'Ost@n1t
verpand v@rp'Ant
bewimpelde b@w'Imp@ld@
zeemden z'emd@n
beschieting b@sx'itIN
trainingsmethode tr'E:nINsme3tod@
volgens v'OlG@ns
etiket e2ti2k'Et
voorkauwen v'orkO@n
avondzittingen 'avO2ntsItIN@n
klauwier klO'ir
beluid b@l'@t
piepjongst p'ipjONst
uitspreken '@tsprek@n
stoppeltjes st'Op@ltj@s
druilt dr'@lt
kinderlokker k'Ind@rlOk@r
polletjes p'Ol@tj@s
dinsdags d'InzdAxs
wereldeconomie w'er@lte2ko2no2mi
postkantoor p'OstkAntor
enkelbaans 'ENk@lb'ans
tribadisme tri2bAd'Izm@
relativerende re3lAti2v'er@n1d@
inleveren 'Inlev@2r@n
luier l'@@r
pietluttig pitl'Yt@x
ovulaties o2vy2l'asis
eiwitstof 'EwItstOf
piekuur p'ikyr
overdrevenere ov@rdr'ev@n@2r@
briefing br'ifIN
verzakelijkt v@rz'ak@2l@kt
facetbeleid fAs'Edb@lEt
souvenirjagers suv@n'irjaG@rs
catastrofen ka2tAstr'of@n
dienstaangelegenheden d'i1nstanG@leG@nhed@n
drum dr'Ym
artilleriebombardement ArtIl@r'ibOmbArd@mEnt
celebreer se2le3br'er
cowboy k'o1bOj
prammen pr'Am@n
glacerend GlAs'er@n1t
Vera v'era2
psychotisch psi2x'oti2s
gelengde G@l'ENd@
skiffle sk'If@l
geurloze G'2rloz@
geloofsbelijdenissen G@l'ovzb@lEd@nI2s@n
pompoenen pOmp'un@n
snok sn'Ok
boerenopstanden b'ur@nOpstAnd@n
eekhorentje 'ekhor@n1tj@
schuiladres sx'@lAdrEs
gemalen G@m'al@n
ijlere 'El@2r@
overkappend ov@rk'Ap@n1t
brioche bri2'OS@
festival fEsti2v'Al
oké o2k'e
muziekinstallatie my2z'ikInstAlasi
ijzerzouten 'Ez@rzOt@n
vratige vr'at@G@
mainteneetje mEnt@n'etj@
logiesgelegenheden lo2Z'isx@leG@nhed@n
managede m'AnAZd@
sporttas sp'OrttAs
fideelste fi2d'elst@
institueerden Insti2ty3'erd@n
dichtbevolkte d'IGdb@v'Ol_kt@
zonnejurk z'On@jYr_k
tonelisten to2ne3l'Ist@n
elektrolytisch e2lE2ktro2l'iti2s
levenswerk l'ev@nswEr_k
uitgebruld '@tx@brYlt
uitgangspunten '@txANspYnt@n
aanhing 'anhIN
champagneglazen SAmp'Anj@Glaz@n
saneert sAn'ert
nachthemd n'AxthEmt
lijkbidders l'EgbId@rs
pluviaal ply2vi3'al
zandvlooien z'Antfloj@n
gebedsbijeenkomsten G@b'EdzbEenkOmst@n
rurale ry2r'al@
mix m'Iks
ongelijksoortige 'OnG@lEks'ort@G@
gewaarwordt G@w'arwOrt
kindertehuis k'Ind@rt@h@s
geflest G@fl'Est
allodium Al'odi3Ym
pappies p'Apis
poelend p'ul@n1t
garandering Ga2rAnd'erIN
vertwijfeld v@rtw'Ef@lt
uitdrukkingsvolle '@ddrYkINsfOl@
gedrevenheid G@dr'ev@nhEt
opulentie o2py2l'Ensi
Garcia GArs'ia2
dyspneu dIspn'2
verzagen v@rz'aG@n
koolwaterstof k'olwat@rstOf
hongerstillers h'ON@rstIl@rs
mankend m'ANk@n1t
centeren s'Ent@2r@n
attractie Atr'Aksi
miljardste mIlj'Art2st@
generatie Ge2ne3r'asi
vulstoffen v'YlstOf@n
regenbuien r'eG@nb@@n
graecomaan Gre2ko2m'an
gespte G'Espt@
objectiefste ObjE2kt'ifst@
conveniëren kOnve3nj'er@n
handgeld h'AntxElt
volst v'Olst
blesseer blE2s'er
geaarzel G@'arz@l
afzadelen 'Afsad@2l@n
bronchitis brONx'itI2s
klontongs kl'OntONs
binnenliet b'In@nlit
Hollands h'OlAnts
gevingerde G@v'IN@rd@
beroerling b@r'urlIN
klabak klAb'Ak
aantrekken 'antrEk@n
doorvaart d'orvart
gaskachel G'AskAx@l
schadevergoeding sx'ad@v@rGudIN
mond-tot-mondreclame mOnttOtm'Ontre3klam@
inschuiven 'Insx@v@n
zoutende z'Ot@n1d@
kinderstem k'Ind@rstEm
bebouwingen b@b'OIN@n
seinpaal s'Enpal
orka's 'Orka2s
bestralingen b@str'alIN@n
werende w'er@n1d@
uitgedruppeld '@tx@drYp@lt
toezichthouders t'uzIxthOd@rs
nattende n'At@n1d@
goedaardigste Gut'ard@xst@
lauwheid l'OhEt
streekcentrum str'eksEntrYm
brique br'i1k@
roerigst r'ur@xst
onrechtvaardigen 'OnrExtf'ard@G@n
woordloos w'ortlos
mac-waarde m'Akward@
floteert flo2t'ert
wegsmeltend w'ExsmElt@n1t
veelbelovendheid velb@l'ov@n1thEt
theaterblad te3'at@rblAt
hangbrug h'ANbrYx
transcendent trAnsE2nd'Ent
broodmagere br'otmaG@2r@
spreekwoorden spr'ekword@n
lessenaar l'Es@nar
verdrinkend v@rdr'INk@n1t
elektronicafabrikanten e2lE2ktr'oni2ka2fa2bri2kAnt@n
varensgasten v'ar@nsxAst@n
beaamd b@'amt
inspanden 'InspAnd@n
zonderbaardere z'Ond@rbard@2r@
hamstervoorraad h'Amst@rvorrat
junkie dZ'@Nki
documentaires do2ky2mE2nt'E:r@s
influenceren Infly2E2ns'er@n
ijslaag 'Eslax
lensde l'Enzd@
verlokkender v@rl'Ok@n1d@r
woestijnbewoner wust'Enb@won@r
geepse G'eps@
timmerfabriek t'Im@rfAbri1k
geluncht G@l'@n1tSt
schrijvend sxr'Ev@n1t
Maastricht mastr'Ixt
quattrocento kwAtro2S'Ento
groepsverschijnselen Gr'upsf@rsxEns@2l@n
bureaucratischer by2ro2kr'ati2s@r
transpireren trAnspi2r'er@n
serf s'Er_f
bepoetelde b@p'ut@ld@
opende 'op@n1d@
ragen r'aG@n
heiige h'E@G@
differentiëringsproces dIfe3rE2nsj'erINspro2sEs
kalmoes k'Almus
verschalen v@rsx'al@n
couvertures kuvE2rt'yr@s
straatverlichting str'atf@rlIxtIN
Horn h'Or_n
klampt kl'Ampt
geprefereerd G@pre2fe3r'ert
tapte t'Apt@
voetzoeker v'utsuk@r
koketteerde ko2kE2t'erd@
afzenders 'AfsEnd@rs
hazelaren h'az@lar@n
pruikentijd pr'@k@ntEt
kwalijker kw'al@k@r
wijnrode w'Enrod@
troeblerende trubl'er@n1d@
riffelden r'If@ld@n
onderling 'Ond@rlIN
conversatietoon kOnvE2rs'asiton
flaneurs flAn'2rs
enigste 'en@xst@
nablijven n'ablEv@n
charta x'Arta2
kleddert kl'Ed@rt
filmmakers f'Il_mmak@rs
afscheuren 'Afsx2r@n
sneden sn'ed@n
schoonzus sx'onzYs
kopschuw k'Opsxyw
inlevert 'Inlev@rt
fleurons fl2r'Ons
appetijtelijk Ap@t'Et@2l@k
incompetentie INkOmpe3t'Ensi
Bayonne bAj'On@
pushten p'YSt@n
woninghypotheken w'onINhi2po2tek@n
bijvrouw b'EvrO
diners di2n'es
elleboogstukken 'El@boxstYk@n
lakkend l'Ak@n1t
latentie lAt'Ensi
krenkend kr'ENk@n1t
handschriften h'AntsxrIft@n
lopen l'op@n
koeriersmachine kur'irsmASi1n@
mediteert me2di2t'ert
jachtpartij j'AxtpArtE
verdrag v@rdr'Ax
banketbakker bANk'EdbAk@r
knakworst kn'AkwOrst
varren v'ar@n
appelstroop 'Ap@lstrop
behoud b@h'Ot
indianenverhaal Indi3'an@nv@rhal
waardebepalingen w'ard@b@palIN@n
extra 'Ekstra2
binnenglippen b'In@nGlIp@n
voortstuwden v'ortstywd@n
grootschaliger Gr'otsx'al@G@r
guipure Gi2p'yr@
aanriep 'anrip
handwerkslieden h'AntwEr_kslid@n
hoofdwacht h'oftwAxt
intelligentieniveau IntE2li2G'Ensini2vo
kukkels k'Yk@ls
noodrantsoenen n'otrAntsun@n
bespoten b@sp'ot@n
gestipt G@st'Ipt
controversen kOntro2v'Ers@n
scarificatie ska2ri2fi2k'asi
ornaat Orn'at
piot pi2'Ot
chiropodie xi2ro2po2d'i
olievaten 'olivat@n
aviveert a2vi2v'ert
geglinster G@Gl'Inst@r
verongelukkend v@r'OnG@lYk@n1t
tast t'Ast
bepalendere b@p'al@n1d@2r@
inkleuren 'Inkl2r@n
toedichtend t'udIxt@n1t
grachtengordel Gr'Axt@nGOrd@l
Australiër o2str'ali3@r
Gotthelf G'OthEl_f
stigmatiserende stIGmAti2z'er@n1d@
universiteitsstad y2ni2vE2rsi2t'EtsstAt
hoofsheid h'ofshEt
beiderlei b'Ed@rlE
kroot kr'ot
geruststellender G@rYstst'El@n1d@r
karnen k'Arn@n
tureluursere ty2r@l'yrs@2r@
geringschatte G@r'INsxAt@
afstervende 'AfstErv@n1d@
gedingen G@d'IN@n
lobberden l'Ob@rd@n
propellers pro2p'El@rs
machten m'Axt@n
onafhankelijken OnAfh'ANk@2l@k@n
pittende p'It@n1d@
aap 'ap
nutte n'Yt@
klisteert klIst'ert
neologismen ne2o2lo2G'Izm@n
ruiden r'@d@n
flessende fl'Es@n1d@
bokkensprong b'Ok@sprON
paneeltjes pAn'eltj@s
eeuwenoude 'ew@nOd@
rekenschap r'ek@nsxAp
hepatitis he2pAt'itI2s
verschafte v@rsx'Aft@
auditeurs Odi2t'2rs
robberend r'Ob@2r@n1t
hamei hAm'E
kankerde k'ANk@rd@
katjes k'Atj@s
rozijntjes ro2z'Entj@s
verhindering v@rh'Ind@rIN
winstpunten w'InstpYnt@n
settecento s'Ete3SEnto
rescontreert rE2skO~tr'ert
tureluur ty2r@l'yr
verzamelinstinct v@rz'am@lInstINkt
gemolde G@m'Old@
leeftijdgenootjes l'eftEtx@notj@s
zuiger z'@G@r
aanschieten 'ansxit@n
discuteert dIsky2t'ert
zwemles zw'EmlEs
maatlat m'atlAt
resedaatje re3z'eda2tj@
zuurstofafgifte z'yrstOvAfxIft@
kindermeisje k'Ind@rmES@
leverpastei l'ev@rpAstE
opnemer 'Opnem@r
anderstaligen And@rst'al@G@n
kunstbeschouwing k'Ynzdb@sxOIN
mand m'Ant
stilgehouden st'IlG@hOd@n
hemianopsie he2mi3AnOps'i
jongedochters jON@d'Oxt@rs
hormoonpreparaten hOrm'onpre2pArat@n
overwoekerende ov@rw'uk@2r@n1d@
journalist ZurnAl'Ist
blafferds bl'Af@rts
schroom sxr'om
aanhoudende 'anhOd@n1d@
onderschikkend Ond@rsx'Ik@n1t
rammen r'Am@n
boekenproductie b'uk@npro2dYksi
mesocefale me2zo2se3f'al@
reorganisaties re3OrGAni2z'asis
frapperen frAp'er@n
invite Inv'i1t@
kuurden k'yrd@n
exagererend EgzAGe3r'er@n1t
fixaties fIks'asis
bijlegging b'ElEGIN
inspiciënten Inspi2sj'Ent@n
schimmenwereld sx'Im@nwer@lt
deponerend de3po2n'er@n1t
gepersifleerd G@pErsi2fl'ert
traande tr'and@
gecenseerde G@sE2ns'erd@
noordwaartse n'ortwarts@
potpourri po2pur'i
afgelaten 'Afx@lat@n
promotiemogelijkheden pro2m'osimoG@2l@khed@n
medaillons me2dAj'Ons
roestkleurige r'ustkl'2r@G@
schoudervullingen sx'Od@rvYlIN@n
destinatie dE2sti2n'asi
stimulatie sti2my2l'asi
ongeëvenaarde 'OnG@e2v@n'ard@
vaporiserende va2po2ri2z'er@n1d@
betrouwbaarder b@tr'Obard@r
Vondeliaans vOnd@lj'ans
traaf tr'af
onverdraagzaamheid Onv@rdr'axsamhEt
tewerkgesteld t@w'Er_kx@stElt
doelpalen d'ulpal@n
handeldrijven h'And@ldrEv@n
filmregisseur f'Il_mre3Gi2s2r
wederhelften w'ed@rhEl_ft@n
exuberanter Egzy2be3r'Ant@r
verdrongen v@rdr'ON@n
zestig s'Est@x
onderhouden 'Ond@rhOd@n
echoden 'Exod@n
lieerden li2'erd@n
kneutert kn'2t@rt
psychosociaal psi2xo2so2sj'al
hagiografische ha2Gi3o2Gr'afi2s@
etappes e2t'Ap@s
melkwinkel m'El_kwINk@l
inhakken 'InhAk@n
visfilet v'Isfi2le
doppers d'Op@rs
liefdegevoelens l'ivd@G@vul@ns
afrost 'AfrOst
wegsnoeien w'Exsnuj@n
vleide vl'Ed@
broedplaatsen br'utplats@n
maçonniek ma2sOn'ik
afzondert 'AfsOnd@rt
kwestietje kw'Estitj@
halfronden h'Al_frOnd@n
uitgangsposities '@txANspo2zisis
rondtoerden r'Ontturd@n
kiezersgunst k'iz@rsxYnst
schuierden sx'@@rd@n
toetsende t'uts@n1d@
gemieterde G@m'it@rd@
tentaminerende tEntAmi2n'er@n1d@
kanonnetje kAn'On@tj@
jovialere jo2vi3'al@2r@
bobbers b'Ob@rs
geconverteerde G@kOnvE2rt'erd@
kreeg kr'ex
liflafte l'IflAft@
bola b'ola2
hondachtige h'OntAxt@G@
kwetsbaarheid kw'EdzbarhEt
pasteitje pAst'Etj@
staalde st'ald@
solemnelere so2lE2mn'el@2r@
bijspringen b'EsprIN@n
wintermaanden w'Int@rmand@n
getaande G@t'and@
kespen k'Esp@n
warmste w'Ar_mst@
ongestoorde 'OnG@st'ord@
fabrieksgeheim fAbr'i1ksx@hEm
geardoiseerde G@ArdwAz'erd@
telelenzen t'ele3lEnz@n
wapenstilstand w'ap@nstIlstAnt
stadsbesturen st'Adzb@styr@n
taaiste t'ajst@
cysten k'i1st@n
kabaaien kAb'aj@n
geleerdste G@l'ert2st@
rollagers r'OllaG@rs
hintjes h'Intj@s
marketentster mArk@t'Entst@r
uiteenlopend @t'enlop@n1t
difficielst dIfi2s'ilst
reigertjes r'EG@rtj@s
opponeren Opo2n'er@n
omschanste Omsx'Anst@
memoriseert me2mo2ri2z'ert
gespletenst G@spl'et@nst
geword G@w'Ort
wiggelt w'IG@lt
gecamoufleerde G@ka2mufl'erd@
kostencategorieën k'Ost@nka2te3Go2ri@n
krachtige kr'Axt@G@
afgeteild 'Afx@tElt
klasgenootjes kl'Asx@notj@s
kruisverhoren kr'@sf@rhor@n
tournedos turn@d'o
parlesantten pArl@s'Ant@n
gebezemde G@b'ez@md@
mangelende m'AN@2l@n1d@
instrueert Instry2'ert
naaldjes n'altj@s
gaarst G'arst
flakker fl'Ak@r
mastend m'Ast@n1t
chondrions x'Ondri2Ons
noordelijke n'ord@2l@k@
spannen sp'An@n
slipjas sl'IpjAs
uitwegen '@tweG@n
klankvolle kl'ANkfOl@
gedweept G@dw'ept
Napoleon nAp'ole3On
grondstofvoorraden Gr'OntstOfforrad@n
verzakend v@rz'ak@n1t
halm h'Al_m
schinkeltjes sx'INk@ltj@s
partizanen pArti2z'an@n
gekruimeld G@kr'@m@lt
gordijn GOrd'En
voorbeduidsels v'orb@d@ts@ls
staatshoofden st'atshovd@n
partijconferentie pArt'EkOnfe3rEnsi
badinrichtingen b'AtInrIxtIN@n
grasveld Gr'AsfElt
bijnierschorshormonen b'EnirsxOrshOrmon@n
uitrustten '@trYst@n
schaamschortje sx'amsxOrtj@
tingeltangeltje t'IN@ltAN@ltj@
hefschroefvliegtuig h'Efsxrufflixt@x
chemigraaf xe2mi2Gr'af
luchtledig lYxtl'ed@x
gitaargetokkel Gi2t'arG@tOk@l
geagioteerd G@a2Gi3o2t'ert
lapjeskat l'Apj@skAt
zwabberden zw'Ab@rd@n
gezaghebber G@z'AxhEb@r
russificerend rYsi2fi2s'er@n1t
festijn fE2st'En
gemoedsgesteldheden G@m'utsx@stElthed@n
studieveld st'ydivElt
gangsterfilms G'ANst@rfIl_ms
importeert ImpOrt'ert
vastgenagelde v'Astx@naG@ld@
schappelijke sx'Ap@2l@k@
verklikte v@rkl'Ikt@
golvend G'Olv@n1t
lysol li2s'Ol
folterden f'Olt@rd@n
genoegde G@n'uGd@
hanterend hAnt'er@n1t
sekwesters se3kw'Est@rs
detailkwesties de3t'AjkwEstis
hovaardij ho2va2rd'E
verkortingen v@rk'OrtIN@n
arbeidsmigratie 'ArbEtsmi2Grasi
beraadde b@r'ad@
doorgelicht d'orG@lIxt
tegengesproken t'eG@nG@sprok@n
landhuizen l'Anth@z@n
harpoengeweer hArp'unG@wer
getuigschrift G@t'@xsxrIft
Elzas-Lotharingen 'ElzAslo2t"arIN@n
bochten b'Oxt@n
spillepoot sp'Il@pot
full-back f'YlbEk
donders d'Ond@rs
geproefd G@pr'uft
ontbijt Ondb'Et
gestouwd G@st'Ot
uitwaaieren '@twaj@2r@n
eradiatie e2rAdi3'asi
waggelen w'AG@2l@n
adelsbrieven 'ad@lzbriv@n
riedelen r'id@2l@n
zigzaggen z'IxsAG@n
vermisten v@rm'Ist@n
hoekplaatsje h'ukplatj@
dirigentencursus di2ri2G'Ent@nkYrsYs
globalere Glo2b'al@2r@
pieust pi2'2st
astrolabium Astro2l'abi3Ym
bikkelend b'Ik@2l@n1t
studiecentra st'ydisEntra2
muurplaten m'yrplat@n
felonieën fe2lo2n'i@n
spijk sp'Ek
boorlingskens b'orlINsk@ns
besteller b@st'El@r
probaatste pro2b'atst@
bouwmeesters b'Omest@rs
wrikkelen vr'Ik@2l@n
blootgeeft bl'otxeft
doodszweet d'otsswet
gefêteerde G@fE2t'erd@
selectiemechanisme se3l'Eksime2xAnIzm@
balanceer ba2lAns'er
doopsel d'ops@l
primeur pri2m'2r
vaceerde vAs'erd@
slonken sl'ONk@n
schrepels sxr'ep@ls
geconglomereerde G@kONGlo2me3r'erd@
articulatorisch Arti2ky2lAt'ori2s
vrijdagavond vrEdAG'avO2nt
intiem Int'im
rieten r'it@n
chocolademelk So2ko2l'ad@mEl_k
omsingelingen Oms'IN@lIN@n
mestvorken m'EstfOrk@n
uitdraaien '@ddraj@n
kaakte k'akt@
seizoenen sE2z'un@n
plamuren plAm'yr@n
Bina b'ina2
pofbroek p'Ovbruk
oleanders o2le3'And@rs
herhalen hE2rh'al@n
onvoldragen 'OnvOldr'aG@n
communicatiestoornissen kOmy2ni2k'asistornI2s@n
exotherme Egzo2t'Erm@
gezang G@z'AN
bijgelegen b'EG@leG@n
eentonigheid ent'on@xhEt
trilogie tri2lo2G'i
ontaardste Ont'art2st@
civielst si2v'ilst
Budapest b'udApEst
optasten 'OptAst@n
tensor t'EnsOr
radendemocratie r'ad@nde3mo2krAsi
opperhuid 'Op@rh@t
onuitvoerbare 'On@tf'urbar@
gezondheidsdiensten G@z'OnthEdzdi1nst@n
doordrenkt dordr'ENkt
druipnat dr'@pnAt
do's d'os
benig b'en@x
zondigen z'Ond@G@n
voedselgewoonten v'uts@lG@wont@n
pandemische pAnd'emi2s@
kapitein-generaal ka2pi2t'EnGe2ne3r"al
magnaten mAGn'at@n
kationen k'Ati3on@n
tweeregelig tw'er'eG@2l@x
stofzuigerend st'Ofs@G@2r@n1t
ruide r'@d@
vooralsnog vorAlsn'Ox
aflopen 'Aflop@n
tankte t'ANkt@
lurkt l'Yr_kt
bemoederde b@m'ud@rd@
opgetuigd 'Opx@t@xt
ranselde r'Ans@ld@
ontroerder Ontr'urd@r
lardeer lArd'er
propperig pr'Op@2r@x
papaja's pAp'a1ja2s
vliegens vl'iG@ns
bezienswaardig b@zi1nsw'ard@x
bijtekenen b'Etek@n@n
abortuskliniek Ab'OrtYskli2ni1k
bekjes b'Ekj@s
vuilbek v'@lbEk
belichaming b@l'IxamIN
februariavond fe2bry2'ariavO2nt
inconsistentie INkOnsi2st'Ensi
prefix pre3f'Iks
kwintappel kw'IntAp@l
peesde p'ezd@
mondjes m'Ontj@s
olievat 'olivAt
poe p'u
gemakkelijk G@m'Ak@2l@k
wegwedstrijd w'ExwEtstrEt
volksuniversiteiten v'Ol_ksy2ni2vE2rsi2tEt@n
riposteerde ri2pOst'erd@
illusoirder Ily2zw'ard@r
bleuer bl'2@r
bezempje b'ez@mpj@
nichtjes n'Ixtj@s
uitgewipt '@tx@wIpt
schouwburgen sx'ObYrG@n
flodderden fl'Od@rd@n
bioscoopje bi2o2sk'opj@
dubbelspel d'Yb@lspEl
lankmoediger lANkm'ud@G@r
mesenchym mEzENx'i1m
spermaceti spErmAs'eti
Husserl h'Ys@r_l
doorga d'orGa2
ontlok Ontl'Ok
allergieën AlE2rG'i@n
forain fo2r'E:n
sedentair se2dE2nt'E:r
letsels l'Ets@ls
betrachtten b@tr'Axt@n
gebeld G@b'Elt
